year,date,tournament,h_team,a_team,h_elo,a_elo,h_score,a_score,location,neutral
"2,018",March 27,Friendly,Germany,Brazil,"2,104","2,118",0,1,in Germany,0
"2,018",March 27,Friendly,Egypt,Greece,"1,655","1,654",0,1,in Switzerland,1
"2,018",March 27,Friendly,Hungary,Scotland,"1,594","1,709",0,1,in Hungary,0
"2,018",March 27,Friendly,Iran,Algeria,"1,790","1,542",2,1,in Austria,1
"2,018",March 27,Friendly tournament,Iraq,Syria,"1,559","1,605",1,1,in Iraq,0
"2,018",March 27,Friendly,Ivory Coast,Moldova,"1,597","1,327",2,1,in France,1
"2,018",March 27,Asian Cup qualifier,Jordan,Vietnam,"1,479","1,271",1,1,in Jordan,0
"2,018",March 27,Friendly,Burkina Faso,Kosovo,"1,611","1,380",0,2,in France,1
"2,018",March 27,Asian Cup qualifier,Kyrgyzstan,India,"1,233","1,160",2,1,in Kyrgyzstan,0
"2,018",March 27,Friendly,Laos,Bangladesh,771,803,2,2,in Laos,0
"2,018",March 27,Asian Cup qualifier,Lebanon,Malaysia,"1,451","1,053",2,1,in Lebanon,0
"2,018",March 27,Friendly,Luxembourg,Austria,"1,331","1,719",0,4,in Luxembourg,0
"2,018",March 27,Asian Cup qualifier,Maldives,Bhutan,935,592,7,0,in the Maldives,0
"2,018",March 27,Friendly,Mongolia,Mauritius,662,"1,071",0,2,in Mongolia,0
"2,018",March 27,Friendly,Montenegro,Turkey,"1,611","1,720",2,2,in Montenegro,0
"2,018",March 27,Friendly,Morocco,Uzbekistan,"1,703","1,614",2,0,in Morocco,0
"2,018",March 27,Asian Cup qualifier,Myanmar,Macao,"1,067",676,1,0,in Myanmar,0
"2,018",March 27,Friendly,Namibia,Lesotho,"1,378","1,262",2,1,in Namibia,0
"2,018",March 27,Asian Cup qualifier,North Korea,Hong Kong,"1,449","1,190",2,0,in North Korea,0
"2,018",March 27,Asian Cup qualifier,Oman,Palestine,"1,528","1,404",1,0,in Oman,0
"2,018",March 27,Friendly,Peru,Iceland,"1,896","1,799",3,1,in the United States,1
"2,018",March 27,Asian Cup qualifier,Philippines,Tajikistan,"1,169","1,213",2,1,in the Philippines,0
"2,018",March 27,Friendly,Poland,South Korea,"1,826","1,749",3,2,in Poland,0
"2,018",March 27,Friendly,Romania,Sweden,"1,696","1,806",1,0,in Romania,0
